no	symbol	r	g	b	formationAge_ja	formationAge_en	group_ja	group_en	lithology_ja	lithology_en	type
1	H2_or	244	223	202	新生代 第四紀 後期完新世	Cenozoic Quaternary late Holocene	その他	Other	盛り土・埋立地・干拓地	Reclaimed land	1
2	Q12-H_se	255	230	255	新生代 第四紀 更新世 カラブリアン期～完新世	Cenozoic Quaternary Pleistocene Calabrian - Holocene	堆積岩	Sedimentary rocks	風成火山灰	aeolian volcanic ash soil	0
3	Q22-H_sdd	200	230	220	新生代 第四紀 中期更新世後期～完新世	Cenozoic Quaternary late Middle Pleistocene - Holocene	堆積岩	Sedimentary rocks	地すべり堆積物	landslide deposits	1
4	Q32-H_sgd	240	255	200	新生代 第四紀 後期更新世中期～完新世	Cenozoic Quaternary middle Late Pleistocene - Holocene	堆積岩	Sedimentary rocks	氷河堆積物	glacial deposits	1
5	Q33-H_sfd	220	240	200	新生代 第四紀 後期更新世後期～完新世	Cenozoic Quaternary late Late Pleistocene - Holocene	堆積岩	Sedimentary rocks	扇状地・崖錐堆積物	fan or talus deposits	1
6	H_sld	200	240	250	新生代 第四紀 完新世	Cenozoic Quaternary Holocene	堆積岩	Sedimentary rocks	湖沼堆積物	lake deposits	1
7	H_smd	210	250	255	新生代 第四紀 完新世	Cenozoic Quaternary Holocene	堆積岩	Sedimentary rocks	湿原・湿地堆積物	marsh deposits	1
8	H_sad	230	255	255	新生代 第四紀 完新世	Cenozoic Quaternary Holocene	堆積岩	Sedimentary rocks	谷底平野・山間盆地・河川・海岸平野堆積物	"valley floor, intermountain basin, river &  coastal plain deposits"	1
9	H_svd	245	255	230	新生代 第四紀 完新世	Cenozoic Quaternary Holocene	堆積岩	Sedimentary rocks	自然堤防堆積物	natural levee deposits	1
10	H_ssd	255	255	150	新生代 第四紀 完新世	Cenozoic Quaternary Holocene	堆積岩	Sedimentary rocks	海岸・砂丘堆積物	coastal or dune deposits	1
11	Q32-33_ssd	235	250	150	新生代 第四紀 後期更新世中期～後期更新世後期	Cenozoic Quaternary middle Late Pleistocene - late Late Pleistocene	堆積岩	Sedimentary rocks	海岸・砂丘堆積物	coastal or dune deposits	1
